"label","value","position"
"Income","0.574","0"
"Pay Delay September","0.392","0"
"Credit Limit","0.302","0"
"Bill Amount September","0.199","0"
"Pay Delay August","0.157","0"
"Pay Amount August","0.104","0"
"Pay Amount July","0.0978","0"
"Pay Amount June","0.0852","0"
"Pay Amount September","0.0828","0"
"Marital status","0.0760","0"
"Bill Amount August","0.0624","0"
"Pay Amount May","0.0617","0"
"Pay Delay May","0.0600","0"
"Bill Amount July","0.0521","0"
"Pay Delay July","0.0512","0"
"Bill Amount Appril","0.0476","0"
"Pay Delay Appril","0.0455","0"
"Pay Amount Appril","0.0440","0"
"Age","0.0393","0"
"Gender","0.0389","0"
"Education","0.0372","0"
"Bill Amount June","0.0360","0"
"Bill Amount May","0.0311","0"
"Pay Delay June","0.0267","0"
"Name","0.00","0"
"ID","0.00","0"
